section,product_name,product_description,price,review_date,review_rating,review_text,testimonial_text,rating
product,Box of Chocolate Candy,"Indulge your sweet tooth with our Box of Chocolate Candy. Each box contains an assortment of rich, flavorful chocolates with a smooth, creamy filling. Choose from a variety of flavors including zesty orange and sweet cherry. Whether you're looking for the perfect gift or just want to treat yourself, our Box of Chocolate Candy is sure to satisfy.",24.99,,,,,
product,Dark Red Energy Potion,"Unleash the power within with our 'Dark Red Potion', an energy drink as intense as the games you play. Its deep red color and bold cherry cola flavor are as inviting as they are invigorating. Bring out the best in your gaming performance, and unlock your full potential.",4.99,,,,,
product,Teal Energy Potion,"Experience a surge of vitality with our 'Teal Potion', an exceptional energy drink designed for the gaming community. With its intriguing teal color and a flavor that keeps you asking for more, this potion is your best companion during those long gaming nights. Every sip is an adventure - let the quest begin!",4.99,,,,,
product,Red Energy Potion,"Elevate your game with our 'Red Potion', an extraordinary energy drink that's as enticing as it is effective. This fiery red potion delivers an explosive berry flavor and an energy kick that keeps you at the top of your game. Are you ready to level up?",4.99,,,,,
product,Blue Energy Potion,"Ignite your gaming sessions with our 'Blue Energy Potion', a premium energy drink crafted for dedicated gamers. Inspired by the classic video game potions, this energy drink provides a much-needed boost to keep you focused and energized. It's more than just an energy drink - it's an ode to the gaming culture, packaged in an aesthetically pleasing potion-like bottle that'll make you feel like you're in your favorite game world. Drink up and game on!",4.99,,,,,
product,Dragon Energy Potion,"Fuel your gaming prowess with our 'Dragon Potion', an energy drink for those who dare to take on the greatest challenges. Packed with a fiery tropical flavor and a potent energy blend, this potion sets the stage for epic gaming sessions. Embrace the spirit of the dragon - play hard, play long.",4.99,,,,,
product,Hiking Boots for Outdoor Adventures,"Gear up for your next outdoor adventure with these durable and comfortable hiking boots. These boots are designed to handle all types of terrain, from rocky trails to muddy paths. They feature a waterproof upper, a rugged outsole for excellent traction, and a cushioned insole for maximum comfort. The mixed-color design adds a stylish touch to these practical boots. Get ready to conquer the great outdoors with our Hiking Boots for Outdoor Adventures.",89.99,,,,,
product,Women's High Heel Sandals,"Step out in style with our Women's High Heel Sandals. These sandals feature a strappy design that adds a touch of elegance to any outfit. The comfortable footbed and sturdy heel make them perfect for a night out, while the buckle closure ensures a secure fit. Choose from black, red, nude, or silver to complement your wardrobe.",59.99,,,,,
product,Running Shoes for Men,"Stay comfortable during your runs with our Men's Running Shoes. Featuring a breathable upper and a cushioned midsole, these shoes provide excellent ventilation and shock absorption. The durable outsole offers solid traction, ensuring stability even on slippery surfaces. With a sleek design and various color options, you can hit the road or the treadmill in style.",49.99,,,,,
product,Kids' Light-Up Sneakers,"Make your child's every step magical with these fun and vibrant light-up sneakers. The shoes feature colorful LED lights embedded in the sole that illuminate with each stride, creating an enchanting visual display. Made with breathable materials and a cushioned footbed, these sneakers ensure comfort for active play. Let your little one's personality shine with these exciting and playful shoes.",29.99,,,,,
product,Classic Leather Sneakers,"Step out in style with these timeless classic leather sneakers. Made from premium genuine leather, these sneakers offer both comfort and durability. The sleek design and neutral color make them versatile for any occasion. Whether you're dressing up for a formal event or going for a casual outing, these sneakers will complement your look perfectly.",79.99,,,,,
product,Cat-Ear Beanie,"Add a touch of whimsy to your winter wardrobe with our Cat Ear Beanie. Crafted from warm, soft material, this cozy beanie features adorable cat ears that stand out, making it the perfect accessory for cat lovers and fashion enthusiasts alike. Available in a variety of colors like black, grey, white, pink, and blue, this beanie not only keeps you warm but also adds a playful element to your outfit. Wear it for a casual day out, or make it your go-to accessory for those chilly evening walks. Stay warm, look cute, and let your playful side shine with our Cat Ear Beanie.",14.99,,,,,
review,,,,2023-05-18T00:00:00,5.0,Unique flavor and great energy boost. It's the perfect gamer's drink!,,
review,,,,2023-05-17T00:00:00,5.0,Good flavor and keeps me energized. The bottle design is really fun.,,
review,,,,2023-05-16T00:00:00,4.0,Excellent energy drink for gamers. The tropical flavor is refreshing.,,
review,,,,2023-05-15T00:00:00,5.0,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",,
review,,,,2023-05-15T00:00:00,5.0,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",,
review,,,,2023-05-12T00:00:00,5.0,The cherry cola flavor is a win. Keeps me energized and focused.,,
review,,,,2023-05-10T00:00:00,5.0,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,,
review,,,,2023-05-01T00:00:00,5.0,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,,
review,,,,2023-05-01T00:00:00,4.0,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",,
review,,,,2023-04-25T00:00:00,5.0,Really enjoyed the citrus flavor and the energy boost it gives.,,
review,,,,2023-04-25T00:00:00,3.0,"Great concept, but the sizing is a bit off. Order a size larger.",,
review,,,,2023-04-18T00:00:00,5.0,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",,
review,,,,2023-04-12T00:00:00,4.0,"The boots are durable, but the laces could be better quality.",,
review,,,,2023-04-11T00:00:00,5.0,This potion is a game changer. Love the energy boost and the flavor.,,
review,,,,2023-04-10T00:00:00,5.0,"Light, comfortable, and nice design. I'm buying another pair.",,
review,,,,2023-04-10T00:00:00,5.0,Highly recommend! These shoes are great for evening walks. Kids love them!,,
review,,,,2023-04-09T00:00:00,4.0,It's like a health potion for gamers! The energy boost is spot on.,,
review,,,,2023-04-07T00:00:00,5.0,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,,
review,,,,2023-04-07T00:00:00,3.0,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,,
review,,,,2023-04-05T00:00:00,5.0,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",,
review,,,,2023-04-05T00:00:00,5.0,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,,
review,,,,2023-04-01T00:00:00,4.0,Great taste and doesn't give me a crash afterwards.,,
review,,,,2023-03-25T00:00:00,4.0,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",,
review,,,,2023-03-25T00:00:00,3.0,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",,
review,,,,2023-03-24T00:00:00,4.0,"Good quality and comfortable, but a bit pricey.",,
review,,,,2023-03-20T00:00:00,4.0,"The orange flavor wasn't my favorite, but the cherry ones are great.",,
review,,,,2023-03-20T00:00:00,5.0,"Not only does it look cool, but it tastes great and gives a good energy boost!",,
review,,,,2023-03-15T00:00:00,5.0,Just what I need for long gaming sessions. Great flavor and energy boost.,,
review,,,,2023-03-14T00:00:00,5.0,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",,
